Si 12.593 10.458 3.648
Si 10.940 4.044 5.952
Si 10.261 7.960 7.978
Si 12.874 6.533 1.770
Si  5.501 5.853 5.897
Si  8.384 8.630 3.853
Al  8.551 6.189 6.005
Si  5.293 8.193 3.736
Si 10.710 8.843 1.700
Si 12.558 6.010 8.066
Si 13.267 4.130 3.728
Si 10.089 10.350 5.813
O   4.864 4.774 4.783
O   8.794 9.925 4.865
O  11.718 9.963 2.334
O  11.499 4.897 7.257
O   9.206 6.887 7.426
O   4.474 7.399 2.633
O  12.493 5.676 9.674
O   9.868 8.467 9.620
O   6.776 8.675 3.270
O   7.028 5.450 6.306
O  10.574 2.497 6.263
O  13.699 2.557 3.497
O   4.335 9.597 4.069
O   9.344 4.687 5.584
O  10.201 9.398 7.119
O  13.067 4.966 2.350
O   4.550 5.817 7.339
O   9.301 8.803 2.548
O  11.817 7.486 7.922
O  11.268 7.207 1.857
O   5.293 7.324 5.165
O   8.583 7.269 4.724
O  11.408 10.224 4.877
O  11.849 4.248 4.562
H   8.718 4.025 5.774
O   8.115 3.359 3.800
H   8.875 3.789 4.134
C   7.560 4.247 2.911
C   8.473 5.037 1.999
H   6.907 3.598 2.308
H   8.878 5.989 2.347
H   9.337 4.455 1.558
H   6.920 5.000 3.406
H   7.963 5.389 1.141
